Traction,Swing
1170253.3638345527,2198253.875079025
1041442.6797814642,1703944.7056418355
1028574.362153416,1906822.6764084215
1071619.6790051193,2333007.4173230208
1086448.4638867178,1919866.7426219818
947645.0699408934,1773318.0137799014
994303.0736942346,2238315.4818789167
1060004.3572661164,1991493.6038908134
929389.2544056156,1489743.742732143
913230.5164367716,1694457.6303807767
945984.7607939485,2066175.281936566
994638.6821158986,1693041.0085195694
899475.9399490292,1672528.3309995898
939347.4549191174,2053792.284265523
971121.0031545602,1774254.5293135324
878490.1589660643,1672234.1584312317
935577.5739851358,2109921.59628382
986551.4049038652,1845925.9157946163
864612.3543446177,1347290.482928779
840526.2680295113,1587369.8208229844
870039.0539465249,1927953.5998204427
907051.4978155561,1512337.9286008035
804643.5957391246,1478612.9721084856
830803.593706712,1879607.1543244505
876354.2641799265,1611710.3521225203
771100.209514603,1199652.4301404902
772333.1882553851,1432232.5467515832
829430.9409537864,1825121.3692861248
862128.7800726743,1471281.2403712599
767080.7265376319,1390707.0393477539
797064.9445075848,1750053.138635331
837140.1621048199,1495183.7376894522
741207.6106290646,1409574.4936088198
767946.7728460286,1739158.904953449
817163.0775414844,1498647.594167989
729176.7706681744,1132767.4307206364
709535.7459985736,1348809.5824202688
745828.5202871098,1595271.444382717
773780.9695921311,1303365.4613617535
697968.5329766356,1287412.4025953757
724481.463090333,1598786.9574875655
759013.9694468683,1368263.5738796853
683331.4838899212,1303137.7201421463
710882.9101277189,1612480.596288755
770016.9797406931,1429588.4819049088
692174.6620006511,1098008.1383124448
668594.1063290446,1261056.4564379905
709867.1425238487,1502178.0407453543
726672.8393134138,1259799.6689248825
661091.7428759024,1241755.7583583589
700314.406860378,1568382.977852297
744942.8724674545,1295286.8826556914
646866.2473733221,979856.0453380217
629460.6673483213,1201349.1360610854
652891.7745142763,1371929.446225321
667332.4621606255,1076340.6086823961
613102.2448263953,1085935.491696322
636632.5908603091,1364887.0694007375
677594.0997479035,1172079.9465468905
610596.4276143946,1157946.579457716
638613.4077597031,1449478.1087869077
679322.1810663936,1239065.6892496569
604334.342817827,939553.4591268485
595861.1433991014,1091669.0424583198
618761.7789239961,1300932.6117706655
652953.3629960114,1046136.4310695443
588401.3766587328,1094813.0456141017
600848.171007936,1323884.6955022847
637324.8861144263,1067901.1911627415
568235.5759764949,1047862.8415769998
606422.6696949422,1328039.964644177
647049.094056053,1146037.7825739372
574941.6429684558,1112056.562884876
595429.5975645776,1383182.0309582138
632712.1964655543,1155613.2600439535
558531.4868703699,905180.6404592221
548850.5888693767,1071134.6586547738
576846.0522767599,1242082.5639148927
608991.0729438373,1007238.5342130547
547482.1244717368,1031852.5673865739
572535.4127067417,1281510.3822178869
603434.3629876561,1073182.1665418432
543088.9192248406,826341.9758327571
528270.8825028262,1009122.480185934
547055.0689455906,1137650.378454356
563166.4887942717,932594.7762193838
519884.6391579177,976890.3899410893
543222.8601574344,1185199.7377456208
579085.6485709284,987408.7294400353
519116.7487183256,973321.3661462354
538561.6459002126,1191559.1166575958
573126.0952815835,1009204.8203492933
521512.8508948884,1017241.4139837489
540068.2412834627,1241775.9662331853
570738.9286227002,1036822.2773509976
507582.26727256394,818053.9920512238
498140.85648671526,978616.9046111868
519846.4779715347,1121907.5790865598
544203.649839798,915861.3528955281
494513.4636532862,934810.8473447857
501324.9813233748,1143247.918229157
548786.9106639777,927779.4977813255
488507.68273248186,792044.4605701158
480291.7413095011,937842.074766505
489383.83433557086,999781.5561673858
509375.69973292924,831378.1970035097
470475.1273366689,908526.690134164
482781.94444564707,1056741.78789873
520602.1468654143,857902.2937724432
468832.7876230788,905157.3930647202
479626.2606649838,1117728.5308847271
527606.4444830897,871461.085252987
466868.84866783547,755123.7810215376
469005.90496614634,892860.7395672906
482032.0309658216,996547.7142633869
504749.5491157704,828733.6031807206
460301.3095267775,863523.5405822549
474542.52643439744,993438.1401728432
504660.67064463906,826854.6712887627
462426.18022328673,880578.128175217
475727.5097509197,1078456.6083054983
517140.77838569996,866800.0438830861
470812.48771964124,733581.690526795
456858.7588358127,887001.9992675931
467793.4042234041,947023.3042954331
477722.28980529855,762083.2810027424
441140.06896298873,804562.6449060158
451257.2800132513,959807.0108621871
492144.2433329256,792022.3856135498
441615.54546814354,863758.2697761488
461171.2205107313,1012914.4947182699
501388.2716033394,822072.9894663165
444329.1245530051,852767.8396089065
448758.536711296,1031525.1210023741
496656.21309274336,847261.5810629706
440784.7014581802,731851.6822196288
438356.0801137052,821684.3919581423
445907.48267317575,924964.3635616091
477389.4367311509,760118.0909608699
434750.73720827996,815548.2089280392
448295.5247903465,974203.3805659421
476171.0999655113,799193.6703563423
425904.6216357547,821652.3093567577
454971.07286476286,1016703.1059933316
485387.69691891776,882162.8520810453
431457.5030024463,872974.1008976415
457969.07101111655,770455.5854326419
420150.48727855395,823515.2318040964
433336.40932917385,959798.4773539992
462973.1748848175,773313.6278466244
416501.409216972,797578.1421825938
432268.25989696267,974305.114274771
465803.39184531727,821225.5637843219
422164.06044627854,692223.5986707998
409583.25927928806,812004.2133838331
419361.8699836998,867455.5520816512
429914.05634018284,704588.2586132612
397485.104625074,759729.2496826262
414318.2904623069,902642.5362446228
441641.544235149,763858.4918940068
397794.03467232914,817526.0757624549
431446.4250898531,730358.7181870523
395843.8671182484,757337.7554072732
402924.75119919475,882564.7641860268
436011.40006457485,725536.2502596388
394947.10785345343,781153.3525510114
409237.2177768464,948219.4692612791
440719.69287725963,780684.5103153088
401350.1779603589,643425.7213723188
391098.09444630647,783020.051479434
433741.2912732602,660780.5603916635
389953.21096301684,700572.8127757008
393338.6867051613,788103.2481244642
418822.6178671744,640606.69070302
379203.46678544744,710621.5462038582
389070.52609555534,791188.5791237166
408876.7128019219,652339.5603795728
379036.88527802087,708891.8751067538
392985.5033723424,828504.6044435784
423539.90338398685,675813.2512257908
381642.90502841945,726875.9097076807
397523.43649969075,846929.7032956934
426775.56965306087,715573.5891850804
391014.1709893609,778849.0895110358
399660.0157106352,900514.2417444314
424631.7057472933,721494.6625020616
380469.84452959127,664507.3721154598
380496.0285984427,729775.7513081206
384761.6600834201,778522.1795078255
408373.4254124492,676848.117336208
372658.5186526431,761882.1913632423
415620.83173611475,630937.4878805641
371660.71595465473,737591.7049242464
381818.8120056805,826866.8564367108
404327.0158057872,642818.1802177028
367748.0825198737,673456.7111359603
373536.5725789765,810146.2011136321
406733.94538065256,665817.008729608
364910.86344921315,730672.6890343629
401105.4399123475,647913.0605191083
362939.5120626391,705141.4373068325
371199.7926529104,778651.4056796272
395291.1018990843,647629.0872230798
363034.43012737227,709995.6032488457
370703.81162690505,805771.8368036333
388984.414663284,687501.8260699456
355273.1687691316,736841.8812637775
396194.563403518,670940.9596594913
363095.7365216861,722441.4521518087
371400.765420346,793808.099746396
394763.5890097223,649093.9454984312
359297.2009579308,710874.598375545
367893.68211245636,799662.1578623779
398483.05351799907,655368.836156645
358083.09824158344,751421.9399434912
396535.61223399156,674568.8057133689
358233.2163365634,712773.7519700921
368884.90874985995,794505.8050787346
381507.6990879364,680395.3318852971
347143.8326101631,725579.6147904948
383584.81344567146,634864.7110823982
353428.1817205832,685661.5950262126
358069.0726573822,783083.8397698436
385013.1193505025,644823.6415510629
349353.02661776415,705023.9828142811
382259.0759801465,635274.2188272293
342531.59808510856,680124.9205932181
